order_id,timestamp,user_id,order_type,subtotal,tip,total
36eca2,2022-05-01 17:56:01,577acb,carryout,38.21,5.74,43.95
b8021a,2022-05-01 18:02:35,,onsite,56.89,8.54,65.43
a837a4,2022-05-01 18:16:03,c9622d,delivery,11.27,0,11.27
926c06,2022-05-01 18:21:49,,onsite,33.44,5.02,38.46
954bbc,2022-05-01 18:22:39,,onsite,7.98,1.2,9.18
d1eaf5,2022-05-01 18:25:45,bd2d3e,delivery,19.45,2.92,22.37
acafdd,2022-05-01 18:34:28,,onsite,9.77,1.47,11.24
6146db,2022-05-01 18:42:10,,onsite,40.30,0,40.30
5edbad,2022-05-01 18:47:07,,onsite,12.77,0,12.77
0e2687,2022-05-01 18:52:03,,onsite,14.97,2.25,17.22
08fbba,2022-05-01 19:04:14,,onsite,15.77,2.37,18.14
048320,2022-05-01 19:05:09,,onsite,13.47,0,13.47
de5370,2022-05-01 19:42:22,8d8bc2,onsite,70.43,10.57,81.00
9c4af3,2022-05-01 19:56:07,,onsite,11.27,0,11.27
7ff318,2022-05-02 11:17:09,a829c3,delivery,50.69,7.61,58.30
b84858,2022-05-02 11:18:01,844edd,carryout,15.27,2.3,17.57
991653,2022-05-02 11:18:59,df7341,onsite,7.98,1.2,9.18
c8eff6,2022-05-02 11:20:40,,onsite,52.19,7.83,60.02
1cbff3,2022-05-02 11:22:42,af23fa,carryout,11.47,1.73,13.20
4afe49,2022-05-02 11:38:56,,carryout,62.98,9.45,72.43
bbbd36,2022-05-02 11:45:09,a4ddbe,delivery,10.77,1.62,12.39
8bdf3c,2022-05-02 11:47:04,,carryout,11.77,0,11.77
f7bd96,2022-05-02 12:08:38,032750,onsite,30.74,4.62,35.36
a5e5dc,2022-05-02 12:11:11,458307,delivery,11.77,0,11.77
4ea1f4,2022-05-02 12:11:21,b9f0d2,delivery,14.27,2.15,16.42
244225,2022-05-02 12:15:01,116ad0,onsite,11.47,1.73,13.20
ac9b9f,2022-05-02 12:47:35,a1284e,onsite,45.50,6.83,52.33
0e7039,2022-05-02 12:49:50,554d2c,delivery,40.71,6.11,46.82
f43fb5,2022-05-02 12:52:29,0cc681,onsite,10.77,0,10.77
9f9a19,2022-05-02 12:56:52,,carryout,11.57,1.74,13.31
154282,2022-05-02 13:21:04,,delivery,30.73,4.61,35.34
743922,2022-05-02 13:44:52,7d2e24,carryout,32.03,4.81,36.84
5537a9,2022-05-02 13:58:59,,onsite,13.47,0,13.47
067e69,2022-05-02 14:32:58,5fd833,delivery,18.75,2.82,21.57
4802f7,2022-05-02 14:56:30,3efe2c,delivery,39.91,5.99,45.90
7164b7,2022-05-02 15:06:00,71b2f3,delivery,19.95,3.0,22.95
df9f8f,2022-05-02 15:17:05,b43801,onsite,34.73,5.21,39.94
d1c853,2022-05-02 15:20:14,488f92,onsite,20.76,0,20.76
fb41b3,2022-05-02 15:30:33,697acb,onsite,9.77,0,9.77
dfcb91,2022-05-02 15:34:39,,onsite,15.97,2.4,18.37
4f3d67,2022-05-02 15:43:51,ef1c5a,onsite,9.77,1.47,11.24
9acf1f,2022-05-02 15:51:49,d44b06,delivery,14.97,2.25,17.22
da8bdd,2022-05-02 16:28:26,,delivery,21.97,3.3,25.27
66eeca,2022-05-02 16:48:25,,onsite,33.42,0,33.42
0dc33e,2022-05-02 17:00:32,,onsite,11.57,0,11.57
edd542,2022-05-02 17:07:51,778e1c,onsite,20.75,3.12,23.87
cd05d0,2022-05-02 17:14:09,,carryout,12.47,1.88,14.35
c38f95,2022-05-02 17:30:34,,delivery,7.98,1.2,9.18
598c97,2022-05-02 17:36:32,c6ac7f,delivery,14.97,0,14.97
9dde3c,2022-05-02 17:37:28,,onsite,16.26,0,16.26
d5fe87,2022-05-02 17:46:59,863354,onsite,4.99,0,4.99
87f29f,2022-05-02 17:49:34,,onsite,10.48,0,10.48
8bb1dc,2022-05-02 17:57:09,,delivery,13.47,2.03,15.50
091727,2022-05-02 17:57:39,df8cb6,onsite,10.97,1.65,12.62
8e192f,2022-05-02 18:17:34,,onsite,12.77,0,12.77
dd6052,2022-05-02 18:31:23,,delivery,13.77,0,13.77
239b3b,2022-05-02 18:41:42,25a27c,onsite,20.45,0,20.45
66df85,2022-05-02 18:48:06,,onsite,11.77,0,11.77
9162af,2022-05-02 18:53:51,,onsite,51.58,7.74,59.32
915e30,2022-05-02 18:55:22,846aff,carryout,15.57,2.34,17.91
2deb23,2022-05-02 19:02:02,485174,onsite,8.98,0,8.98
5cf0a2,2022-05-02 19:05:03,23b3a1,carryout,9.97,1.5,11.47
585d53,2022-05-02 19:12:38,eb1ddc,carryout,55.98,8.4,64.38
168f7e,2022-05-02 19:13:41,d4541a,delivery,11.27,0,11.27
fa5543,2022-05-02 19:16:39,4e1107,carryout,23.75,0,23.75
984638,2022-05-02 19:17:42,3a2ba5,carryout,13.97,2.1,16.07
ec3814,2022-05-02 19:20:00,6adcc2,delivery,18.76,2.82,21.58
144072,2022-05-02 19:37:00,bdd7aa,carryout,15.77,2.37,18.14
08f9cf,2022-05-02 20:06:54,,onsite,16.76,0,16.76
a507fb,2022-05-03 11:05:06,ac3f71,onsite,14.97,2.25,17.22
2c6e18,2022-05-03 11:28:07,,onsite,14.97,0,14.97
6907ea,2022-05-03 11:35:51,,delivery,9.77,1.47,11.24
9f9fbe,2022-05-03 11:36:16,7e18d1,delivery,15.77,0,15.77
2b1b15,2022-05-03 11:37:29,5e6280,onsite,16.76,2.52,19.28
6b3708,2022-05-03 11:37:31,e019a9,delivery,9.48,0,9.48
e7a9fc,2022-05-03 11:38:37,f79229,carryout,13.77,0,13.77
a3232d,2022-05-03 11:47:03,,onsite,27.05,4.06,31.11
3dac31,2022-05-03 11:47:38,80205a,delivery,15.27,0,15.27
87fa37,2022-05-03 12:19:27,634d02,delivery,12.47,0,12.47
9d5560,2022-05-03 12:24:50,49b523,onsite,10.97,0,10.97
9a2335,2022-05-03 12:39:34,,onsite,15.27,0,15.27
44e826,2022-05-03 12:59:48,,onsite,25.93,0,25.93
ff07ed,2022-05-03 13:25:30,ccd548,delivery,21.05,0,21.05
2bdec4,2022-05-03 13:28:10,,onsite,12.98,0,12.98
7bebdd,2022-05-03 13:45:49,,onsite,12.47,0,12.47
74abe0,2022-05-03 14:00:57,,onsite,20.96,3.15,24.11
2be57b,2022-05-03 14:16:53,,onsite,9.77,1.47,11.24
0c039c,2022-05-03 14:23:42,,delivery,10.77,0,10.77
b8caf8,2022-05-03 14:26:23,c4e634,onsite,11.77,0,11.77
ae4c2e,2022-05-03 14:28:47,,onsite,22.46,0,22.46
76204f,2022-05-03 14:31:57,,delivery,38.72,5.81,44.53
533dfc,2022-05-03 16:12:48,,carryout,13.07,1.97,15.04
7ec124,2022-05-03 16:13:35,,delivery,13.78,0,13.78
5a25ac,2022-05-03 16:16:06,,delivery,15.77,0,15.77
cd997c,2022-05-03 16:24:56,,delivery,39.52,0,39.52
d15e7a,2022-05-03 16:29:45,,onsite,23.05,3.46,26.51
4285e9,2022-05-03 16:57:15,8f67dc,delivery,23.45,0,23.45
b94c44,2022-05-03 16:58:50,,onsite,9.77,1.47,11.24
2a3972,2022-05-03 17:11:24,,delivery,22.46,0,22.46
c68707,2022-05-03 17:18:42,dcdce8,carryout,9.97,1.5,11.47
cb1203,2022-05-03 17:23:38,,onsite,13.07,0,13.07
8bcd99,2022-05-03 17:24:55,34309e,onsite,10.77,0,10.77
14f73e,2022-05-03 17:37:40,,onsite,10.97,0,10.97
1783d7,2022-05-03 17:51:21,,carryout,9.48,0,9.48
930614,2022-05-03 17:53:14,,carryout,36.03,0,36.03
0d26ba,2022-05-03 18:00:24,,onsite,11.27,1.7,12.97
1bed7b,2022-05-03 18:06:36,5948f1,delivery,10.97,0,10.97
d9142e,2022-05-03 18:14:41,,carryout,10.77,1.62,12.39
1168bd,2022-05-03 18:17:47,009186,onsite,7.49,1.13,8.62
2155b5,2022-05-03 18:18:52,c53a51,carryout,12.47,0,12.47
5594ed,2022-05-03 18:21:45,c16639,carryout,12.27,0,12.27
0e21e1,2022-05-03 18:25:38,,carryout,12.47,0,12.47
70b482,2022-05-03 18:27:42,,carryout,56.99,0,56.99
124d7b,2022-05-03 18:40:14,,carryout,50.49,0,50.49
5b17e1,2022-05-03 18:41:50,6e4fae,onsite,14.27,0,14.27
718d5b,2022-05-03 19:03:30,,onsite,37.52,0,37.52
771bb8,2022-05-03 19:09:48,83ab13,delivery,11.28,0,11.28
8872ad,2022-05-03 19:17:51,,delivery,18.76,0,18.76
3eaaf4,2022-05-03 19:18:27,e6e9ac,onsite,12.47,0,12.47
e09f16,2022-05-03 19:25:42,,delivery,29.33,4.4,33.73
e24d4d,2022-05-03 19:47:23,,carryout,61.68,9.26,70.94
db3082,2022-05-03 20:19:10,,onsite,22.95,3.45,26.40
ed6ef0,2022-05-04 11:00:10,,onsite,10.77,0,10.77
4752ee,2022-05-04 11:24:59,364e7b,carryout,13.97,0,13.97
56bea8,2022-05-04 11:29:12,,onsite,13.47,2.03,15.50
2024b2,2022-05-04 11:36:27,7bb162,onsite,11.97,0,11.97
5d3a10,2022-05-04 11:36:34,10c17f,onsite,34.22,5.14,39.36
62011e,2022-05-04 11:43:54,c43561,carryout,8.97,1.35,10.32
4a1790,2022-05-04 11:54:13,e3faf8,carryout,19.96,3.0,22.96
7c52d8,2022-05-04 11:57:35,497ae9,carryout,24.75,3.72,28.47
ad73cc,2022-05-04 11:57:56,,delivery,12.27,0,12.27
e3d9c3,2022-05-04 11:59:56,,delivery,11.98,1.8,13.78
0c3ae5,2022-05-04 12:01:27,,delivery,34.71,5.21,39.92
9aa31a,2022-05-04 12:02:41,,onsite,19.46,0,19.46
16b3c7,2022-05-04 12:12:51,,onsite,10.77,1.62,12.39
509f9f,2022-05-04 12:15:10,,onsite,42.00,6.3,48.30
b4adb3,2022-05-04 12:28:03,,carryout,10.48,1.58,12.06
ab4af3,2022-05-04 12:29:02,,carryout,25.75,0,25.75
539d2b,2022-05-04 12:31:26,e0ac2b,carryout,13.27,0,13.27
a6a043,2022-05-04 12:36:13,6ad899,carryout,12.77,1.92,14.69
aedc5d,2022-05-04 12:36:23,,onsite,16.26,2.44,18.70
8ccab7,2022-05-04 12:43:20,,onsite,12.47,1.88,14.35
139cf5,2022-05-04 13:10:22,,onsite,40.02,6.01,46.03
c18dff,2022-05-04 13:10:58,,onsite,11.47,0,11.47
de4f74,2022-05-04 13:26:50,,onsite,34.72,5.21,39.93
8232fd,2022-05-04 13:28:52,e1c9e0,carryout,16.77,0,16.77
340c8d,2022-05-04 13:32:35,b1c9e6,delivery,13.47,0,13.47
f08a2a,2022-05-04 13:45:58,,carryout,10.97,0,10.97
313283,2022-05-04 13:47:40,df56ae,carryout,64.08,0,64.08
59539a,2022-05-04 13:51:19,,delivery,11.28,1.7,12.98
9195b1,2022-05-04 13:52:36,82e7f5,delivery,9.28,1.4,10.68
85bef5,2022-05-04 14:04:43,,onsite,34.74,0,34.74
245315,2022-05-04 14:31:57,,onsite,70.28,0,70.28
00bab3,2022-05-04 14:37:41,,carryout,46.71,7.01,53.72
16974e,2022-05-04 14:41:07,d3041a,onsite,9.98,1.5,11.48
b110c3,2022-05-04 15:23:03,,onsite,10.97,1.65,12.62
3d858e,2022-05-04 15:27:54,,onsite,14.27,0,14.27
032207,2022-05-04 15:37:20,705787,onsite,11.98,1.8,13.78
b59990,2022-05-04 16:08:20,,carryout,49.20,7.39,56.59
b41e4d,2022-05-04 16:13:28,,carryout,8.77,0,8.77
508d0d,2022-05-04 16:21:37,16f3cb,onsite,26.34,3.96,30.30
0ba8c0,2022-05-04 16:24:05,,onsite,10.77,1.62,12.39
15ff4b,2022-05-04 16:31:44,c97830,carryout,10.77,1.62,12.39
de223b,2022-05-04 16:52:54,,onsite,28.03,4.21,32.24
1ed7ac,2022-05-04 16:56:27,,delivery,8.98,1.35,10.33
ca3b88,2022-05-04 17:04:54,60a918,delivery,7.78,1.17,8.95
f5949d,2022-05-04 17:14:05,,delivery,17.26,0,17.26
f2fa7c,2022-05-04 17:25:13,,delivery,12.27,0,12.27
962462,2022-05-04 17:37:04,,onsite,9.48,0,9.48
dbd76f,2022-05-04 17:41:52,,onsite,11.47,0,11.47
05f144,2022-05-04 17:44:38,,onsite,14.27,0,14.27
40c41d,2022-05-04 17:53:45,,onsite,59.25,8.89,68.14
09ad02,2022-05-04 18:00:36,,onsite,14.97,2.25,17.22
defd1d,2022-05-04 18:31:15,bf5ee2,carryout,8.98,1.35,10.33
4a5ae8,2022-05-04 18:35:45,c2ba1f,delivery,52.29,7.85,60.14
7de9b8,2022-05-04 18:40:16,,carryout,9.77,1.47,11.24
9b6c55,2022-05-04 18:41:41,949b61,onsite,8.98,1.35,10.33
7467d8,2022-05-04 18:59:09,,onsite,19.75,2.97,22.72
71f592,2022-05-04 19:06:42,8e741f,onsite,12.27,0,12.27
ecc82a,2022-05-04 19:15:47,1e0007,carryout,40.81,0,40.81
470170,2022-05-04 19:22:41,,onsite,29.24,0,29.24
18f156,2022-05-04 19:58:46,,onsite,17.26,0,17.26
6b19fc,2022-05-04 20:12:47,,onsite,10.48,0,10.48
ff7eb1,2022-05-05 11:08:23,116ad0,delivery,9.77,0,9.77
6b0de4,2022-05-05 11:12:32,,onsite,20.95,3.15,24.10
53ea5d,2022-05-05 11:25:44,754363,delivery,8.77,1.32,10.09
a72348,2022-05-05 11:25:53,,delivery,34.24,5.14,39.38
319b02,2022-05-05 11:28:08,b35711,carryout,8.98,1.35,10.33
94f0d1,2022-05-05 11:34:06,,delivery,11.97,1.8,13.77
d1f6cf,2022-05-05 11:34:59,c6ac7f,onsite,12.47,0,12.47
3bd96f,2022-05-05 11:35:27,,carryout,48.42,0,48.42
b3b168,2022-05-05 11:40:28,0a3ddc,onsite,11.77,1.77,13.54
47b0dc,2022-05-05 11:44:42,,onsite,13.77,2.07,15.84
3dd5d6,2022-05-05 11:53:25,222dd6,carryout,11.77,0,11.77
4b5e9b,2022-05-05 11:56:19,6ab1da,delivery,12.47,0,12.47
a3394a,2022-05-05 12:06:43,d4541a,delivery,13.47,0,13.47
1e9c4c,2022-05-05 12:07:35,9e3008,delivery,19.06,0,19.06
f1c9c2,2022-05-05 12:19:45,,delivery,46.80,7.02,53.82
9f78a6,2022-05-05 12:22:46,,onsite,14.97,2.25,17.22
a80c53,2022-05-05 12:33:34,,carryout,41.02,6.16,47.18
b4253f,2022-05-05 12:53:56,,onsite,57.19,8.58,65.77
d067de,2022-05-05 13:02:20,,onsite,9.97,0,9.97
0465b5,2022-05-05 13:15:47,17ad7e,onsite,24.96,3.75,28.71
c0f04c,2022-05-05 13:16:47,06ffda,delivery,10.48,1.58,12.06
5ecc96,2022-05-05 13:23:33,,onsite,11.27,1.7,12.97
dd9e18,2022-05-05 13:24:16,,delivery,35.21,0,35.21
aedea2,2022-05-05 13:34:38,,onsite,26.54,3.99,30.53
65d50c,2022-05-05 13:38:22,9233be,carryout,5.99,0.9,6.89
cbf7f4,2022-05-05 14:19:43,cb8c39,carryout,10.77,1.62,12.39
6b5cad,2022-05-05 14:35:54,,carryout,12.77,0,12.77
21c7e9,2022-05-05 14:41:00,569414,onsite,12.47,1.88,14.35
4e1460,2022-05-05 14:53:57,608e5d,carryout,10.97,1.65,12.62
4f4ca0,2022-05-05 15:21:01,485174,carryout,10.77,1.62,12.39
ce6d03,2022-05-05 15:32:05,,carryout,30.22,0,30.22
993576,2022-05-05 15:51:23,,carryout,52.39,7.86,60.25
2d3208,2022-05-05 15:53:06,,carryout,47.50,7.13,54.63
6919c6,2022-05-05 16:03:44,bdd7aa,onsite,16.07,0,16.07
9a8209,2022-05-05 16:08:42,,onsite,39.01,0,39.01
f32a32,2022-05-05 16:23:12,,onsite,11.28,0,11.28
ea7454,2022-05-05 16:47:09,539ce0,delivery,13.07,0,13.07
123671,2022-05-05 16:58:45,cf8dfd,carryout,28.74,4.32,33.06
fac02d,2022-05-05 17:00:38,9e09b0,onsite,14.97,2.25,17.22
a9beae,2022-05-05 17:01:22,23b3a1,onsite,9.97,1.5,11.47
2668ac,2022-05-05 17:06:29,,onsite,14.97,0,14.97
74f292,2022-05-05 17:11:01,3a2ba5,onsite,14.97,2.25,17.22
9a4e1a,2022-05-05 17:14:36,,carryout,14.27,0,14.27
a9fc38,2022-05-05 17:24:50,f6b447,onsite,54.40,8.17,62.57
e05170,2022-05-05 17:26:37,6bf830,onsite,12.47,1.88,14.35
be36c7,2022-05-05 17:47:59,,onsite,14.57,2.19,16.76
a62d99,2022-05-05 17:48:31,b43801,onsite,38.23,5.74,43.97
dc6a09,2022-05-05 17:54:58,6f0e89,carryout,9.77,0,9.77
c56d15,2022-05-05 17:59:29,5d7d69,delivery,18.26,2.74,21.00
e546bf,2022-05-05 18:05:27,,onsite,12.27,1.85,14.12
1e632e,2022-05-05 18:08:40,f12c6b,carryout,15.77,2.37,18.14
31e542,2022-05-05 18:09:36,,delivery,9.97,1.5,11.47
2cb8b0,2022-05-05 18:14:26,,carryout,27.94,4.2,32.14
5b51f9,2022-05-05 18:18:46,695334,delivery,57.75,0,57.75
b95dbc,2022-05-05 18:25:55,,onsite,13.47,0,13.47
990198,2022-05-05 18:28:26,2cb4a1,delivery,14.97,0,14.97
628fcd,2022-05-05 18:41:59,,onsite,16.46,2.47,18.93
b4080a,2022-05-05 18:47:57,697acb,delivery,9.77,0,9.77
8f10d3,2022-05-05 18:51:20,028bad,carryout,51.20,0,51.20
106a7b,2022-05-05 18:57:20,990026,carryout,6.98,0,6.98
0821ee,2022-05-05 19:13:56,,onsite,12.57,1.89,14.46
a34cb7,2022-05-05 19:26:48,,carryout,20.26,3.04,23.30
af6295,2022-05-05 19:32:06,b9f0d2,delivery,12.28,0,12.28
94b455,2022-05-05 19:41:43,863354,carryout,6.98,0,6.98
c6435c,2022-05-05 19:44:31,832587,delivery,34.71,5.21,39.92
40a8af,2022-05-05 19:46:39,,onsite,22.76,0,22.76
9899bc,2022-05-05 19:56:27,,onsite,9.48,0,9.48
0c0f91,2022-05-05 20:12:58,,onsite,14.27,2.15,16.42
29a75f,2022-05-06 11:17:56,5948f1,delivery,10.97,1.65,12.62
aff2e4,2022-05-06 11:18:16,,delivery,5.99,0,5.99
4aacb1,2022-05-06 11:33:26,,onsite,33.73,0,33.73
1a261b,2022-05-06 11:34:48,,carryout,17.77,0,17.77
90c074,2022-05-06 11:43:13,,carryout,12.47,1.88,14.35
1ca138,2022-05-06 11:50:00,458307,onsite,11.77,0,11.77
7298ec,2022-05-06 11:57:07,3c0d40,delivery,13.77,0,13.77
ce40ae,2022-05-06 11:57:16,,onsite,10.97,0,10.97
a8c902,2022-05-06 12:07:45,aac1ad,onsite,17.95,2.7,20.65
6a5c76,2022-05-06 12:08:42,,carryout,12.27,0,12.27
3bccd3,2022-05-06 12:09:53,,onsite,14.77,0,14.77
544ce1,2022-05-06 12:22:59,,onsite,48.69,0,48.69
3c402b,2022-05-06 12:31:26,,onsite,21.96,3.3,25.26
09d3bd,2022-05-06 12:55:29,,carryout,14.77,2.22,16.99
aa843e,2022-05-06 12:58:05,134212,delivery,20.25,0,20.25
f1cbe4,2022-05-06 13:03:30,a1284e,carryout,43.51,6.53,50.04
d59892,2022-05-06 13:10:15,7e5ae2,onsite,12.57,0,12.57
2528c4,2022-05-06 13:13:46,,onsite,12.77,0,12.77
bff120,2022-05-06 13:17:46,,onsite,24.45,0,24.45
276cfb,2022-05-06 13:26:09,f8dc92,onsite,9.78,0,9.78
60d7cd,2022-05-06 13:47:16,,onsite,11.97,1.8,13.77
d87923,2022-05-06 14:28:55,eff91f,delivery,11.57,0,11.57
bf5f8d,2022-05-06 15:24:32,,onsite,21.26,3.19,24.45
58be0a,2022-05-06 15:40:33,2ed2b4,carryout,13.47,2.03,15.50
f3c492,2022-05-06 15:53:02,,carryout,21.26,0,21.26
8218ee,2022-05-06 16:20:41,,onsite,7.49,0,7.49
cba398,2022-05-06 16:31:28,,onsite,14.77,0,14.77
d9ac9f,2022-05-06 16:36:25,,carryout,14.27,2.15,16.42
43aa43,2022-05-06 16:40:09,,delivery,44.21,6.64,50.85
d37194,2022-05-06 17:05:53,93c3c7,carryout,22.76,0,22.76
9794f4,2022-05-06 17:09:09,,onsite,38.91,5.84,44.75
68a1ca,2022-05-06 17:13:14,,delivery,15.56,0,15.56
4d7124,2022-05-06 17:28:34,,delivery,14.97,2.25,17.22
adbe3e,2022-05-06 17:29:09,0cc681,delivery,10.77,0,10.77
601c04,2022-05-06 17:41:01,5e6280,onsite,15.27,2.3,17.57
35083d,2022-05-06 17:50:46,27c59c,carryout,9.97,0,9.97
4fee36,2022-05-06 17:51:49,,delivery,11.77,1.77,13.54
007036,2022-05-06 17:55:19,,carryout,13.47,0,13.47
207b2f,2022-05-06 18:14:09,,onsite,15.27,2.3,17.57
0067a8,2022-05-06 18:20:30,,carryout,8.98,1.35,10.33
0687cb,2022-05-06 18:51:11,b53279,onsite,40.72,6.11,46.83
c5d45c,2022-05-06 18:55:43,,onsite,10.97,0,10.97
65bfd7,2022-05-06 19:01:25,,onsite,10.77,0,10.77
b1a470,2022-05-06 19:02:19,7980d0,delivery,17.07,2.57,19.64
d41e8d,2022-05-06 19:09:05,,onsite,12.07,0,12.07
036e87,2022-05-06 19:12:04,83ab13,delivery,11.28,0,11.28
7ab15f,2022-05-06 19:16:07,a829c3,carryout,53.19,7.98,61.17
22870a,2022-05-06 19:16:51,488f92,carryout,20.76,0,20.76
41d203,2022-05-06 19:30:52,3efe2c,delivery,39.21,5.89,45.10
533b36,2022-05-06 19:33:28,,onsite,12.77,1.92,14.69
863350,2022-05-06 19:44:26,6ee524,onsite,16.46,2.47,18.93
9aba4b,2022-05-06 20:12:44,,onsite,36.23,5.44,41.67
08673d,2022-05-06 20:24:13,,carryout,50.49,7.58,58.07
169665,2022-05-07 11:28:26,,carryout,11.77,1.77,13.54
63bac3,2022-05-07 11:34:04,,onsite,7.98,0,7.98
ef1be5,2022-05-07 11:37:07,,carryout,20.25,0,20.25
a028ee,2022-05-07 11:39:44,,onsite,13.77,0,13.77
092d79,2022-05-07 11:40:06,c57d8b,onsite,19.96,0,19.96
790979,2022-05-07 11:41:17,df80c4,delivery,41.43,6.22,47.65
b0608d,2022-05-07 11:41:34,c86d4e,carryout,15.96,2.4,18.36
a8547b,2022-05-07 11:42:37,,carryout,45.22,0,45.22
f8a478,2022-05-07 11:44:34,,delivery,9.77,1.47,11.24
c769bb,2022-05-07 11:56:16,,onsite,55.38,0,55.38
f7c368,2022-05-07 12:03:35,,onsite,11.77,0,11.77
381bf0,2022-05-07 12:09:56,,carryout,31.44,0,31.44
0df3d1,2022-05-07 12:11:07,,delivery,7.78,1.17,8.95
10f753,2022-05-07 12:11:44,,onsite,21.96,3.3,25.26
83d0cb,2022-05-07 12:28:09,,delivery,38.22,5.74,43.96
980c49,2022-05-07 12:30:31,,carryout,37.74,0,37.74
766417,2022-05-07 12:36:29,,onsite,39.51,5.93,45.44
ff56dc,2022-05-07 12:43:56,554d2c,delivery,44.00,0,44.00
812514,2022-05-07 13:10:40,,onsite,36.72,0,36.72
400ab2,2022-05-07 13:16:50,d3041a,carryout,11.97,0,11.97
b38bc7,2022-05-07 13:17:25,309019,onsite,13.47,2.03,15.50
095343,2022-05-07 13:20:03,,carryout,32.72,0,32.72
cb445e,2022-05-07 13:22:21,,onsite,15.27,0,15.27
9b1396,2022-05-07 13:28:23,cc10d4,delivery,12.47,0,12.47
bd1547,2022-05-07 13:40:06,,onsite,19.46,0,19.46
dcc0b8,2022-05-07 14:04:01,,carryout,8.97,1.35,10.32
dfa5a7,2022-05-07 14:09:08,,onsite,7.98,0,7.98
e0afa5,2022-05-07 15:28:57,,onsite,12.27,0,12.27
3495d7,2022-05-07 16:07:24,,onsite,10.77,1.62,12.39
32dad7,2022-05-07 16:35:10,4aa1d1,carryout,5.99,0.9,6.89
4a5813,2022-05-07 16:37:50,,onsite,14.27,0,14.27
ba4faa,2022-05-07 16:42:37,,onsite,21.95,0,21.95
cdfce4,2022-05-07 17:12:06,,onsite,15.56,0,15.56
69fae8,2022-05-07 17:21:05,2040e7,delivery,40.21,0,40.21
d28ba6,2022-05-07 17:22:51,82e7f5,carryout,9.48,0,9.48
cc189a,2022-05-07 17:31:04,,onsite,7.49,0,7.49
7e6bd8,2022-05-07 17:39:54,5fd833,delivery,19.75,2.97,22.72
c8a8e7,2022-05-07 17:50:14,,onsite,19.96,3.0,22.96
e662df,2022-05-07 17:55:19,94d60d,delivery,9.77,1.47,11.24
e1587f,2022-05-07 18:01:19,2d851b,onsite,17.75,2.67,20.42
ae9920,2022-05-07 18:04:35,,carryout,46.71,7.01,53.72
6c818e,2022-05-07 18:09:16,,carryout,11.27,1.7,12.97
a2bc7f,2022-05-07 18:39:39,,onsite,22.95,0,22.95
